W-E 관문 — 보드 타일 rect 전/후 (390x844 · 전투 · advStart(1))
전 --ts=53px  후 --ts=53px   타일 수 63 / 63
idx |        전 [l,t,w,h]        |        후 [l,t,w,h]        | w,h 동일?
  0 | [0.5,196.34,53,53]         | [0.5,193.34,53,53]         | YES
  1 | [56.5,196.34,53,53]        | [56.5,193.34,53,53]        | YES
  2 | [112.5,196.34,53,53]       | [112.5,193.34,53,53]       | YES
  3 | [168.5,196.34,53,53]       | [168.5,193.34,53,53]       | YES
  4 | [224.5,196.34,53,53]       | [224.5,193.34,53,53]       | YES
  5 | [280.5,196.34,53,53]       | [280.5,193.34,53,53]       | YES
  6 | [336.5,196.34,53,53]       | [336.5,193.34,53,53]       | YES
  7 | [0.5,252.34,53,53]         | [0.5,249.34,53,53]         | YES
  8 | [56.5,252.34,53,53]        | [56.5,249.34,53,53]        | YES
  9 | [112.5,252.34,53,53]       | [112.5,249.34,53,53]       | YES
 10 | [168.5,252.34,53,53]       | [168.5,249.34,53,53]       | YES
 11 | [224.5,252.34,53,53]       | [224.5,249.34,53,53]       | YES
 12 | [280.5,252.34,53,53]       | [280.5,249.34,53,53]       | YES
 13 | [336.5,252.34,53,53]       | [336.5,249.34,53,53]       | YES
 14 | [0.5,308.34,53,53]         | [0.5,305.34,53,53]         | YES
 15 | [56.5,308.34,53,53]        | [56.5,305.34,53,53]        | YES
 16 | [112.5,308.34,53,53]       | [112.5,305.34,53,53]       | YES
 17 | [168.5,308.34,53,53]       | [168.5,305.34,53,53]       | YES
 18 | [224.5,308.34,53,53]       | [224.5,305.34,53,53]       | YES
 19 | [280.5,308.34,53,53]       | [280.5,305.34,53,53]       | YES
 20 | [336.5,308.34,53,53]       | [336.5,305.34,53,53]       | YES
 21 | [0.5,364.34,53,53]         | [0.5,361.34,53,53]         | YES
 22 | [56.5,364.34,53,53]        | [56.5,361.34,53,53]        | YES
 23 | [112.5,364.34,53,53]       | [112.5,361.34,53,53]       | YES
 24 | [168.5,364.34,53,53]       | [168.5,361.34,53,53]       | YES
 25 | [224.5,364.34,53,53]       | [224.5,361.34,53,53]       | YES
 26 | [280.5,364.34,53,53]       | [280.5,361.34,53,53]       | YES
전수(63개) 크기 불일치 = 0  (위치는 바가 6px 두꺼워진 만큼 세로로 일괄 -3px 이동 · 크기 불변)
